oshwaUid,country,projectName,responsibleParty,primaryType,hardwareLicense,softwareLicense,documentationLicense,certificationDate,stars,forks,watchers,directoryUrl
US001002,United States of America,SparkFun USB Type A Female Breakout,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-19T00:00-05:00,3,1,49,https://certification.oshwa.org/us001002.html
US000889,United States of America,SparkFun USB UART Serial Breakout - CY7C65213,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-17T00:00-05:00,4,1,33,https://certification.oshwa.org/us000889.html
US000808,United States of America,SparkFun USB-C Breakout,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-08T00:00-05:00,17,5,3,https://certification.oshwa.org/us000808.html
US002336,United States of America,SparkFun USB-C Host Shield,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-06-06T00:00-04:00,4,0,4,https://certification.oshwa.org/us002336.html
US000804,United States of America,SparkFun UV Light Sensor Breakout - VEML6075 (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-08T00:00-05:00,3,2,4,https://certification.oshwa.org/us000804.html
US000840,United States of America,SparkFun Variable Load Kit,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-14T00:00-05:00,9,8,26,https://certification.oshwa.org/us000840.html
US000970,United States of America,SparkFun Vernier Interface Shield,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,1,2,5,https://certification.oshwa.org/us000970.html
US000875,United States of America,SparkFun VR IMU Breakout - BNO080 (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-17T00:00-05:00,33,4,26,https://certification.oshwa.org/us000875.html
US001022,United States of America,SparkFun Wake on Shake,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-19T00:00-05:00,8,9,50,https://certification.oshwa.org/us001022.html
US000883,United States of America,SparkFun Weather Shield,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-17T00:00-05:00,70,65,58,https://certification.oshwa.org/us000883.html
US000736,United States of America,SparkFun weather:bit - micro:bit Carrier Board (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-02T00:00-05:00,7,5,6,https://certification.oshwa.org/us000736.html
US002369,United States of America,SparkFun WiFi IR Blaster (ESP8266),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-06-30T00:00-04:00,10,0,17,https://certification.oshwa.org/us002369.html
US000945,United States of America,SparkFun WiFi Shield - ESP8266,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,75,47,46,https://certification.oshwa.org/us000945.html
US000891,United States of America,SparkFun Wireless Joystick Kit,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-17T00:00-05:00,5,0,6,https://certification.oshwa.org/us000891.html
US000865,United States of America,SparkFun Wireless Motor Driver Shield,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-16T00:00-05:00,2,1,43,https://certification.oshwa.org/us000865.html
US000994,United States of America,SparkFun XBee Explorer Dongle,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,8,3,45,https://certification.oshwa.org/us000994.html
US001025,United States of America,SparkFun XBee Explorer Regulated,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-19T00:00-05:00,1,5,47,https://certification.oshwa.org/us001025.html
US000008,United States of America,SparkFun XBee Explorer Regulated,SparkFun Electronics,Electronics,Other,Other,CC BY-SA,2016-10-31T00:00-04:00,1,5,47,https://certification.oshwa.org/us000008.html
US000002,United States of America,SparkFun XBee Explorer Serial,SparkFun Electronics,Electronics,Other,MIT,CC BY-SA,2016-10-31T00:00-04:00,2,3,50,https://certification.oshwa.org/us000002.html
US000933,United States of America,SparkFun XBee Explorer Serial,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-18T00:00-05:00,2,3,50,https://certification.oshwa.org/us000933.html
US000993,United States of America,SparkFun XBee Explorer USB,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2021-01-08T00:00-05:00,8,11,51,https://certification.oshwa.org/us000993.html
US002723,United States of America,SparkPNT RTK Facet mosaic L-Band,SparkFun Electronics,Tool,CC-BY-SA-4.0,MIT,CC-BY-SA-4.0,2025-02-25T00:00-05:00,0,0,5,https://certification.oshwa.org/us002723.html
US002206,United States of America,SparkX Differential Pressure Sensor - SDP31 (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-19T00:00-04:00,1,0,2,https://certification.oshwa.org/us002206.html
US000784,United States of America,SparkX Pi-Filter,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-07T00:00-05:00,1,0,1,https://certification.oshwa.org/us000784.html
US002207,United States of America,SparkX Power Meter - ACS37800 (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-19T00:00-04:00,3,1,4,https://certification.oshwa.org/us002207.html
US000702,United States of America,SparkX Refrigeration Gas Sensor - ZMOD4450 (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-11-19T00:00-05:00,2,2,14,https://certification.oshwa.org/us000702.html
US000871,United States of America,Spectacle Audio Board,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-16T00:00-05:00,0,0,30,https://certification.oshwa.org/us000871.html
US000872,United States of America,Spectacle Light Board,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-12-16T00:00-05:00,0,2,28,https://certification.oshwa.org/us000872.html
UK000086,United Kingdom,Spectrum One,Jarosław Reszka,Electronics,CERN-OHL-S-2.0,MIT,CC-BY-4.0,2026-01-15T00:00-05:00,1,0,0,https://certification.oshwa.org/uk000086.html
UK000072,United Kingdom,Spoonbot,Steam Engineers,Wearables,CERN,MIT,CC BY-SA,2025-02-25T00:00-05:00,0,0,1,https://certification.oshwa.org/uk000072.html
