oshwaUid,country,projectName,primaryType,hardwareLicense,softwareLicense,documentationLicense,certificationDate,stars,forks,watchers,directoryUrl
US002468,United States of America,Adafruit DC & Stepper Motor Bonnet for Raspberry Pi,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,14,8,6,https://certification.oshwa.org/US002468
US002520,United States of America,Adafruit DC & Stepper Motor HAT for Raspberry Pi - Mini Kit,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,14,8,6,https://certification.oshwa.org/US002520
US002470,United States of America,Adafruit DotStar High Density 8x8 Grid - 64 RGB LED Pixel Matrix,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,10,0,7,https://certification.oshwa.org/US002470
US002516,United States of America,Adafruit DPI TFT Kippah for Raspberry Pi with Touch Support,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,12,7,5,https://certification.oshwa.org/US002516
US000550,United States of America,Adafruit DragonTail for micro:bit,Electronics,Other,MIT,CC BY-SA,2020-05-08T00:00-04:00,2,0,8,https://certification.oshwa.org/US000550
US002048,United States of America,Adafruit DVI Breakout Board - For HDMI Source Devices,Electronics,Other,MIT,CC BY-SA,2021-08-19T00:00-04:00,69,31,17,https://certification.oshwa.org/US002048
US002109,United States of America,Adafruit ESP32 Feather V2 - 8MB Flash + 2 MB PSRAM,Electronics,Other,MIT,CC BY-SA,2022-05-20T00:00-04:00,23,2,10,https://certification.oshwa.org/US002109
US002110,United States of America,Adafruit ESP32 Feather V2 w.FL Antenna - 8MB Flash + 2 MB PSRAM,Electronics,Other,MIT,CC BY-SA,2022-05-20T00:00-04:00,23,2,10,https://certification.oshwa.org/US002110
US002061,United States of America,Adafruit ESP32-S2 Feather - 2 MB PSRAM and STEMMA QT / Qwiic,Electronics,Other,MIT,CC BY-SA,2021-12-03T00:00-05:00,11,2,11,https://certification.oshwa.org/US002061
US002168,United States of America,Adafruit ESP32-S2 Reverse TFT Feather,Electronics,Other,MIT,CC BY-SA,2023-02-24T00:00-05:00,4,0,10,https://certification.oshwa.org/US002168
US002066,United States of America,Adafruit ESP32-S2 TFT Feather,Electronics,Other,MIT,CC BY-SA,2022-01-14T00:00-05:00,11,1,10,https://certification.oshwa.org/US002066
US002502,United States of America,Adafruit ESP32-S3 Reverse TFT Feather,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,8,0,10,https://certification.oshwa.org/US002502
US002121,United States of America,Adafruit ESP32-S3 TFT Feather,Electronics,Other,MIT,CC BY-SA,2022-07-07T00:00-04:00,15,3,11,https://certification.oshwa.org/US002121
US002144,United States of America,Adafruit EYESPI Breakout Board - 18 Pin FPC Connector,Electronics,Other,MIT,CC BY-SA,2022-12-14T00:00-05:00,3,0,10,https://certification.oshwa.org/US002144
US002471,United States of America,Adafruit Feather 32u4 RFM95 LoRa Radio- 868 or 915 MHz,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,21,11,6,https://certification.oshwa.org/US002471
US002498,United States of America,Adafruit Feather nRF52 Pro with myNewt Bootloader,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,80,32,16,https://certification.oshwa.org/US002498
US002673,United States of America,Adafruit FPC Breakout for Raspberry Pi 5 DSI or RP2350 HSTX - 22 Pin 0.5mm,Electronics,Other,MIT,CC BY-SA,2024-08-29T00:00-04:00,1,0,9,https://certification.oshwa.org/US002673
US002592,United States of America,Adafruit Grove and Stemma QT FeatherWing for all Feathers,Electronics,Other,MIT,CC BY-SA,2023-12-21T00:00-05:00,1,0,9,https://certification.oshwa.org/US002592
US002464,United States of America,Adafruit HDC1008 Temperature & Humidity Sensor Breakout Board,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,2,0,5,https://certification.oshwa.org/US002464
US002042,United States of America,Adafruit HTU31 Temperature & Humidity Sensor Breakout Board,Electronics,Other,MIT,CC BY-SA,2021-08-19T00:00-04:00,1,0,2,https://certification.oshwa.org/US002042
US002460,United States of America,Adafruit HUZZAH CC3000 WiFi Breakout with Onboard Antenna,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,9,5,12,https://certification.oshwa.org/US002460
US002465,United States of America,Adafruit HUZZAH CC3000 WiFi Shield with Onboard Antenna,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,2,2,9,https://certification.oshwa.org/US002465
US002499,United States of America,Adafruit I2C Stemma QT Rotary Encoder Breakout with NeoPixel,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,7,2,11,https://certification.oshwa.org/US002499
US002484,United States of America,Adafruit I2S 3W Stereo Speaker Bonnet for Raspberry Pi,Electronics,Other,MIT,CC BY-SA,2023-09-11T00:00-04:00,6,4,8,https://certification.oshwa.org/US002484
US002454,United States of America,Adafruit I2S Audio Bonnet for Raspberry Pi,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,8,2,8,https://certification.oshwa.org/US002454
US002503,United States of America,Adafruit ISM330DHCX + LIS3MDL FeatherWing,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,3,1,10,https://certification.oshwa.org/US002503
US002430,United States of America,Adafruit ItsyBitsy 32u4 - 3V 8MHz,Electronics,Other,MIT,CC BY-SA,2023-08-22T00:00-04:00,10,0,9,https://certification.oshwa.org/US002430
US002508,United States of America,Adafruit Joy Bonnet for Raspberry Pi,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,11,3,11,https://certification.oshwa.org/US002508
US002062,United States of America,Adafruit KB2040 - RP2040 Kee Boar Driver,Electronics,Other,MIT,CC BY-SA,2021-12-03T00:00-05:00,29,8,10,https://certification.oshwa.org/US002062
US002495,United States of America,Adafruit LIS3DH Triple-Axis Accelerometer (+-2g/4g/8g/16g),Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,10,5,6,https://certification.oshwa.org/US002495
